q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7,t_solve
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630972,1.652e-05,2.39664e-06,1.04894e-06,-1.27703e-06,-1.01381e-06,1.92375e-06,-2.6817e-05,0.01652,0.00239664,0.00104894,-0.00127703,-0.00101381,0.00192375,-0.026817,8.818
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630971,2.95293e-05,4.28322e-06,1.87402e-06,-2.28621e-06,-1.81271e-06,3.44126e-06,-4.79382e-05,0.0130093,0.00188658,0.000825075,-0.00100918,-0.000798899,0.00151751,-0.0211212,11.42
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.063097,4.21049e-05,6.10593e-06,2.67034e-06,-3.26633e-06,-2.58567e-06,4.91152e-06,-6.83591e-05,0.0125756,0.0018227,0.000796328,-0.000980113,-0.000772951,0.00147025,-0.0204209,18.444
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630969,5.46944e-05,7.92998e-06,3.4667e-06,-4.25071e-06,-3.35995e-06,6.38572e-06,-8.88055e-05,0.0125895,0.00182405,0.000796352,-0.00098438,-0.000774287,0.0014742,-0.0204464,12.673
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630968,6.74503e-05,9.7777e-06,4.27301e-06,-5.25018e-06,-4.14479e-06,7.88092e-06,-0.000109524,0.0127559,0.00184772,0.000806316,-0.000999473,-0.000784834,0.00149521,-0.0207184,14.501
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630967,8.04392e-05,1.16589e-05,5.0937e-06,-6.26925e-06,-4.94416e-06,9.40442e-06,-0.000130622,0.0129889,0.00188119,0.000820684,-0.00101907,-0.000799373,0.0015235,-0.0210981,9.138
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630965,9.36951e-05,1.35785e-05,5.93101e-06,-7.31012e-06,-5.76009e-06,1.09598e-05,-0.000152154,0.0132558,0.00191966,0.000837317,-0.00104087,-0.000815928,0.00155543,-0.0215324,8.279
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630963,0.000107237,1.55395e-05,6.78626e-06,-8.374e-06,-6.59371e-06,1.25492e-05,-0.000174152,0.013542,0.00196099,0.000855244,-0.00106388,-0.000833623,0.0015894,-0.0219976,8.349
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630961,0.000121077,1.75436e-05,7.66024e-06,-9.46164e-06,-7.44574e-06,1.41739e-05,-0.000196634,0.0138401,0.00200409,0.00087398,-0.00108764,-0.000852026,0.00162464,-0.0224822,8.284
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630959,0.000135224,1.9592e-05,8.5535e-06,-1.05736e-05,-8.31665e-06,1.58346e-05,-0.000219614,0.0141464,0.00204839,0.000893266,-0.00111192,-0.000870914,0.00166075,-0.02298,8.488
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630956,0.000149682,2.16856e-05,9.46646e-06,-1.17102e-05,-9.20681e-06,1.75321e-05,-0.000243102,0.0144587,0.0020936,0.000912956,-0.0011366,-0.000890162,0.0016975,-0.0234875,8.151
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630953,0.000164458,2.38251e-05,1.03994e-05,-1.28718e-05,-1.01165e-05,1.92669e-05,-0.000267104,0.0147759,0.0021395,0.000932962,-0.0011616,-0.000909698,0.00173479,-0.0240027,8.222
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.063095,0.000179555,2.60111e-05,1.13527e-05,-1.40586e-05,-1.1046e-05,2.10395e-05,-0.000291629,0.0150971,0.00218601,0.000953235,-0.00118688,-0.000929478,0.00177252,-0.0245245,8.254
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630947,0.000194977,2.82442e-05,1.23264e-05,-1.52711e-05,-1.19955e-05,2.28501e-05,-0.000316681,0.0154219,0.00223303,0.00097374,-0.00121242,-0.000949475,0.00181066,-0.0250521,8.184
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630944,0.000210727,3.05247e-05,1.33209e-05,-1.65093e-05,-1.29651e-05,2.46993e-05,-0.000342266,0.01575,0.00228054,0.000994456,-0.00123821,-0.000969672,0.00184918,-0.025585,9.002
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.063094,0.000226808,3.28532e-05,1.43362e-05,-1.77735e-05,-1.39552e-05,2.65873e-05,-0.000368389,0.0160811,0.00232849,0.00101537,-0.00126422,-0.000990057,0.00188804,-0.0261229,8.067
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630936,0.000243223,3.523e-05,1.53727e-05,-1.90639e-05,-1.49658e-05,2.85146e-05,-0.000395054,0.0164151,0.00237686,0.00103647,-0.00129046,-0.00101062,0.00192724,-0.0266656,7.981
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630931,0.000259975,3.76557e-05,1.64304e-05,-2.03809e-05,-1.59972e-05,3.04813e-05,-0.000422267,0.016752,0.00242564,0.00105774,-0.00131691,-0.00103135,0.00196677,-0.0272127,7.912
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630927,0.000277067,4.01305e-05,1.75096e-05,-2.17244e-05,-1.70494e-05,3.2488e-05,-0.000450031,0.0170915,0.00247481,0.00107919,-0.00134358,-0.00105225,0.00200661,-0.0277642,7.845
-1.25962,-0.663669,-0.692637,-2.17138,-0.264125,1.50759,0.0630922,0.0002945,4.26548e-05,1.86104e-05,-2.30949e-05,-1.81227e-05,3.45347e-05,-0.000478351,0.0174336,0.00252436,0.0011008,-0.00137044,-0.00107331,0.00204676,-0.02832,7.862
